     0.695  0.704  0.713  0.722  0.731  0.74  0.748  0.756  0.764  0.772
     0.78   0.791  0.802  0.813  0.824  0.835 0.846  0.857  0.868  0.879
     0.89   0.905  0.92   0.93   0.94   0.95  0.96   0.97   0.98   0.99
     1.0    1.012  1.024  1.036  1.048  1.06  1.072  1.084  1.096  1.108
     1.12   1.2    1.225  1.248  1.27   1.29  1.32   1.34   1.37   1.39
     1.42   1.44   1.46   1.49   1.52   1.54  1.59   1.64   1.69   1.74
     1.8    1.88   1.96   2.05   2.13   2.3   2.46   2.62   2.78   2.94
     3.1    3.18   3.26   3.34   3.42   3.5   3.93   4.36   4.8    5.23
     5.66   6.73   7.8    8.86   9.93   11.0  12.5   14.0   15.5   17.0
     18.5   20.1   21.8   23.4   25.0   26.6  28.1   29.7   31.3   32.82
     35.5   39.1   42.8   46.4   50.0   54.0  56.7   59.4   62.1   64.8
     67.5   70.5   73.5   76.4   79.4   82.4  88.3   94.1   100.0  105.4
     110.8  116.7  122.7  128.6  134.6  140.5 148.0  155.6  163.5  170.7
     178.2  185.3  192.3  199.4  206.4  213.5 225.3  237.1  248.9  260.7
     272.5  290.4  308.2  326.1  343.9  361.8 395.7  429.6  463.4  497.3
     531.2  562.7  594.1  625.6  657.0  688.5   0.0    0.0    0.0.   0.0
       0.0    0.0    0.0    0.0    0.0    0.0   0.0    0.0    0.0    0.0 
       0.0    0.0    0.0    0.0    0.0    0.0   0.0    0.0    0.0    0.0
       0.0    0.0    0.0    0.0    0.0    0.0   0.0    0.0    0.0    0.0
