     0.81  0.83  0.85  0.87  0.89  0.91  0.93  0.95  0.97  0.99
     1.1   1.12  1.14  1.16  1.18  1.2	 1.22  1.24  1.26  1.28
     1.3   1.32  1.34  1.36  1.38  1.4	 1.42  1.44  1.46  1.49
     1.52  1.55  1.58  1.61  1.64  1.67  1.70  1.73  1.76  1.79
     1.82  1.85  1.88  1.92  1.95  1.98  2.01  2.04  2.07  2.1
     2.13  2.16  2.19  2.22  2.25  2.28  2.31  2.34  2.37  2.4
     2.43  2.46  2.49  2.52  2.55  2.59  2.61  2.64  2.67  2.71
     2.75  2.79  2.83  2.87  2.91  2.95  3.0   3.05  3.10  3.15
     3.2   3.26  3.32  3.38  3.44  3.5	 3.58  3.66  3.77  3.82
     3.9   4.02  4.14  4.26  4.38  4.5	 4.64  4.78  4.92  5.06
     5.2   5.44  5.66  5.88  6.1   6.32  6.65  6.98  7.32  7.66
     8.0   8.4	 8.9   9.4   9.9   10.4  11.32 12.24 13.16 14.08
     15.0  15.92 17.0  19.22 21.44 23.66 25.88 28.2  30.8  34.5
     40.0  45.0  50.0  60.0  70.0  83.0  100.  120.  145.  175.
     210.0  278.0 

