#NSGA2
popsize 200
maxGen 20
numVar 12
numObj 2
numCons 14
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 20
currentGen	1
evaluateCount	200
totalTime	19.5907
firstFrontCount	6
frontCount	162
avgEvalTime	0.0968085
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Var11	Var12	Obj1	Obj2	Cons1	Cons2	Cons3	Cons4	Cons5	Cons6	Cons7	Cons8	Cons9	Cons10	Cons11	Cons12	Cons13	Cons14	
9640	9030	1567	16	22	355	370	288	60	6	4	6	0.0101616	73.8998	0	0	0	0	0	0	0	1.61635	1.28427	0	0	0	0	0	
9740	9039	1571	16	23	363	373	288	63	5	3	5	0.0101541	88.2585	0	0	0	0	29.4072	0	0	0	0	0	0	0	0	0	
9556	8902	1610	16	24	366	368	280	61	6	3	6	0.0101557	81.8245	0	0	0	0.732878	32.7117	0	0	0	0	0	0	0	0	0	
9712	9049	1584	16	21	356	373	284	61	7	3	6	0.0101581	83.2629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9632	8947	1570	16	19	363	368	279	64	5	3	7	0.010162	84.7123	0	0	0	0	0	0	0	1.61707	0	0	0	0	0	0	
9686	9003	1602	14	24	360	371	278	60	6	4	5	0.0101547	87.0044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9559	9068	1555	15	23	370	371	286	63	6	4	7	0.0109326	55.5928	99.1	0	0	0	33.0341	8.38262	0	0	2.14023	2.57317	0	0	0	954.996	
9657	8980	1617	15	19	362	370	278	62	7	4	6	0.0101596	86.7243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9568	8950	1595	16	22	370	374	272	64	5	5	6	0.0101619	75.8665	0	0	0	0.736914	0	0	0	0	0	0	0	0	0	0	
9598	8914	1580	16	18	360	366	273	60	6	3	6	0.010167	84.8158	0	0	0	0	0	0	0	1.61776	0	0	0	0	0	78.088	
9585	9030	1600	15	23	367	374	270	63	5	3	5	0.0101696	67.0865	0	0	0	0	0	0	0	0	1.54388	0	0	0	0	0	
9623	8948	1585	15	20	361	371	286	61	7	4	7	0.0101602	84.1034	0	0	0	0	33.4437	0	0	1.60262	0	0	0	0	0	0	
9586	8913	1611	16	19	356	371	286	63	5	4	7	0.0101589	84.984	0	0	0	0	28.6022	0	0	0	0	0	0	0	0	0	
9640	8914	1574	16	18	361	370	289	61	5	4	5	0.0101633	90.8966	0	0	0	0	30.6681	0	0	1.62315	0	0	0	0	0	73.5125	
9747	8950	1611	16	23	362	373	288	64	5	4	7	0.0101493	105.084	0	0	0	0	22.4143	0	0	0	0.780704	0	0	0	0	0	
9589	9049	1598	16	20	356	368	288	62	6	5	7	0.0101752	64.8232	0	0	0	0	0	0	0	0	1.62657	0	0	0	0	68.8672	
9554	9076	1630	15	22	359	374	276	61	6	4	6	0.0101946	56.6765	92.6	0	0	0	0	0	0	0	2.15633	1.57987	0	0	0	0	
9743	8963	1558	16	20	364	367	272	61	7	4	6	0.0101623	98.6759	0	0	0	0	0	0	0	1.6261	0	0	0	0	0	0	
9680	9063	1627	15	19	365	365	276	63	6	4	7	0.0101605	78.6075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9575	9047	1566	15	23	360	366	281	61	5	4	6	0.0101879	61.4941	0	0	0	0	0	0	0	1.60489	1.7599	1.27254	0	0	0	68.2466	
9587	8920	1570	14	20	369	370	275	62	6	4	6	0.0101644	81.6683	0	0	0	0.737394	0	0	0	1.61364	0	0	0	0	0	0	
9723	8976	1625	14	18	360	373	278	64	6	4	7	0.0101577	98.4005	0	0	0	0	0	0	0	0	0	0	0	0	0	68.6663	
9730	9070	1576	15	23	366	370	289	62	7	4	6	0.0101554	82.5362	0	0	0	0	32.1463	0	0	0	0	0	0	0	0	0	
9704	8978	1595	14	23	363	371	286	61	7	5	6	0.0101537	93.0417	0	0	0	0	31.9851	0	0	0	0	0	0	0	0	0	
9695	8968	1577	15	22	363	373	275	61	6	4	7	0.0101585	91.8776	0	0	0	0	0	0	0	1.60415	0	0	0	0	0	0	
9576	8910	1613	14	19	365	370	281	63	7	4	6	0.0101602	83.9705	0	0	0	0.730219	33.4339	0	0	0	0	0	0	0	0	0	
9574	9077	1647	17	22	356	366	274	60	6	3	6	0.0101832	60.4157	0	0	0	0	0	0	0	0	1.91723	1.42454	0	0	0	0	
9708	9013	1588	16	20	360	373	280	61	6	3	7	0.0101593	88.1216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9594	8917	1557	16	23	366	373	289	62	7	4	7	0.0101586	82.3721	0	0	0	0.731645	23.563	0	0	1.63456	0	0	0	0	0	0	
9550	9096	1607	15	21	359	367	283	63	7	4	6	0.0101746	52.167	80.6	0	0	0	0	0	0	0	2.53757	0	0	0	0	0	
9619	8966	1643	16	20	364	373	287	64	6	3	5	0.0101551	84.2838	0	0	0	0	27.4535	0	0	0	0	0	0	0	0	0	
9724	8983	1616	16	19	363	367	270	63	5	4	6	0.0101586	96.9033	0	0	0	0	0	0	0	0	0	0	0	0	0	65.0613	
9591	9032	1641	14	22	367	374	289	60	6	5	6	0.0101633	69.7163	0	0	0	0	0	0	0	0	1.47632	0	0	0	0	0	
9741	9089	1647	14	21	360	366	273	63	6	5	7	0.0101549	85.7041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9632	8974	1573	15	20	362	369	275	61	6	4	6	0.0101636	81.0382	0	0	0	0	0	0	0	1.60917	0	0	0	0	0	0	
9687	8989	1594	16	23	366	373	280	62	6	3	5	0.0101549	88.704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9673	8961	1627	15	18	359	371	289	63	6	4	6	0.0101575	92.7286	0	0	0	0	29.3048	0	0	0	0	0	0	0	0	67.3682	
9725	8979	1596	15	23	363	369	284	60	5	4	6	0.0101536	96.2723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9666	9082	1614	16	20	356	372	273	61	6	4	6	0.0101642	72.832	0	0	0	0	0	0	0	0	1.35477	0	0	0	0	0	
9708	9074	1629	17	19	369	365	275	60	6	5	6	0.0101618	81.5688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9581	9000	1607	15	20	366	371	273	62	6	4	5	0.0101664	71.2181	0	0	0	0	0	0	0	0	1.39303	0	0	0	0	0	
9666	9086	1561	16	24	364	372	276	62	5	4	6	0.0101646	69.5216	0	0	0	0	0	0	0	0	1.43796	0	0	0	0	0	
9608	9063	1595	16	23	359	366	271	63	6	5	6	0.0101716	65.5848	0	0	0	0	0	0	0	0	1.59985	0	0	0	0	0	
9581	9008	1644	16	20	359	373	289	62	5	3	6	0.0101608	71.8861	0	0	0	0	31.8097	0	0	0	1.38828	0	0	0	0	0	
9587	8958	1596	15	20	362	367	271	63	5	5	6	0.010163	77.7109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9615	9049	1625	15	19	358	371	287	62	5	4	7	0.0101655	70.2121	0	0	0	0	0	0	0	0	1.44064	0	0	0	0	0	
9594	9074	1571	17	23	363	370	288	60	6	4	6	0.0102003	60.7234	0	0	0	0	0	0	0	0	1.821	1.33316	0	0	0	80.732	
